PC	eigenvalue	proportion of total	cumulative proportion
387	4.39235	2.7121E-4	0.80256
388	12.44156	7.6821E-4	0.80333
389	12.4077	7.6612E-4	0.80409
390	12.3801	7.6442E-4	0.80486
391	12.37323	7.6399E-4	0.80562
392	4.41796	2.7279E-4	0.80589
393	12.31967	7.6068E-4	0.80665
394	4.44758	2.7462E-4	0.80693
395	4.4663	2.7577E-4	0.80721
396	4.47144	2.7609E-4	0.80748
397	12.2686	7.5753E-4	0.80824
398	4.50682	2.7828E-4	0.80852
399	4.51544	2.7881E-4	0.8088
400	12.21374	7.5414E-4	0.80955
401	12.18551	7.524E-4	0.8103
402	12.17341	7.5165E-4	0.81105
403	12.16528	7.5115E-4	0.81181
404	12.14349	7.4981E-4	0.81256
405	4.58119	2.8287E-4	0.81284
406	4.59393	2.8365E-4	0.81312
407	4.62142	2.8535E-4	0.81341
408	4.63561	2.8623E-4	0.81369
409	12.08077	7.4593E-4	0.81444
410	4.66297	2.8792E-4	0.81473
411	12.05731	7.4448E-4	0.81547
412	12.03769	7.4327E-4	0.81621
413	12.00021	7.4096E-4	0.81696
414	11.98464	7.4E-4	0.8177
415	4.69177	2.897E-4	0.81799
416	4.7115	2.9091E-4	0.81828
417	4.72482	2.9174E-4	0.81857
418	11.91356	7.3561E-4	0.8193
419	11.90098	7.3483E-4	0.82004
420	11.88817	7.3404E-4	0.82077
421	11.85976	7.3229E-4	0.8215
422	4.7563	2.9368E-4	0.8218
423	4.7777	2.95E-4	0.82209
424	11.821	7.2989E-4	0.82282
425	4.80116	2.9645E-4	0.82312
426	11.79271	7.2815E-4	0.82385
427	11.76112	7.262E-4	0.82457
428	11.7495	7.2548E-4	0.8253
429	11.71853	7.2357E-4	0.82602
430	11.6961	7.2218E-4	0.82675
431	4.83688	2.9866E-4	0.82704
432	4.85173	2.9957E-4	0.82734
433	11.66617	7.2033E-4	0.82806
434	4.87972	3.013E-4	0.82837
435	4.88722	3.0176E-4	0.82867
436	11.61549	7.172E-4	0.82938
437	4.92577	3.0414E-4	0.82969
438	4.94941	3.056E-4	0.82999
439	11.58238	7.1516E-4	0.83071
440	11.55847	7.1368E-4	0.83142
441	4.98204	3.0762E-4	0.83173
442	5.00449	3.09E-4	0.83204
443	11.51462	7.1098E-4	0.83275
444	11.49374	7.0969E-4	0.83346
445	11.48616	7.0922E-4	0.83417
446	11.47215	7.0835E-4	0.83488
447	11.42485	7.0543E-4	0.83558
448	5.03165	3.1068E-4	0.83589
449	11.37561	7.0239E-4	0.8366
450	11.36891	7.0198E-4	0.8373
451	11.34772	7.0067E-4	0.838
452	5.05444	3.1209E-4	0.83831
453	11.32459	6.9924E-4	0.83901
454	5.07029	3.1307E-4	0.83932
455	11.29368	6.9733E-4	0.84002
456	11.26399	6.955E-4	0.84072
457	11.24692	6.9445E-4	0.84141
458	11.2332	6.936E-4	0.8421
459	11.21891	6.9272E-4	0.8428
460	11.19383	6.9117E-4	0.84349
461	5.08663	3.1408E-4	0.8438
462	5.10083	3.1495E-4	0.84412
463	11.16255	6.8924E-4	0.84481
464	11.14099	6.8791E-4	0.84549
465	5.13197	3.1688E-4	0.84581
466	11.09778	6.8524E-4	0.8465
467	5.14951	3.1796E-4	0.84681
468	5.16017	3.1862E-4	0.84713
469	5.18276	3.2001E-4	0.84745
470	11.06659	6.8331E-4	0.84814
471	5.20702	3.2151E-4	0.84846
472	5.22302	3.225E-4	0.84878
473	11.03684	6.8147E-4	0.84946
474	11.01949	6.804E-4	0.85014
475	5.24397	3.2379E-4	0.85047
476	5.26481	3.2508E-4	0.85079
477	5.2888	3.2656E-4	0.85112
478	5.29573	3.2699E-4	0.85144
479	5.30152	3.2734E-4	0.85177
480	5.30694	3.2768E-4	0.8521
481	10.98516	6.7828E-4	0.85278
482	10.96848	6.7725E-4	0.85346
483	5.34557	3.3006E-4	0.85379
484	10.93229	6.7502E-4	0.85446
485	10.91991	6.7425E-4	0.85513
486	10.90753	6.7349E-4	0.85581
487	10.8913	6.7249E-4	0.85648
488	10.86493	6.7086E-4	0.85715
489	5.37236	3.3172E-4	0.85748
490	5.38197	3.3231E-4	0.85782
491	5.38674	3.3261E-4	0.85815
492	5.4033	3.3363E-4	0.85848
493	10.84303	6.6951E-4	0.85915
494	10.80697	6.6728E-4	0.85982
495	10.79532	6.6656E-4	0.86049
496	5.43944	3.3586E-4	0.86082
497	10.74129	6.6323E-4	0.86148
498	5.46648	3.3753E-4	0.86182
499	5.48539	3.387E-4	0.86216
500	5.49541	3.3932E-4	0.8625
501	10.72442	6.6218E-4	0.86316
502	10.70387	6.6092E-4	0.86382
503	10.69217	6.6019E-4	0.86448
504	10.67317	6.5902E-4	0.86514
505	10.65949	6.5818E-4	0.8658
506	10.637	6.5679E-4	0.86646
507	10.60854	6.5503E-4	0.86711
508	10.5904	6.5391E-4	0.86777
509	10.58507	6.5358E-4	0.86842
510	5.5197	3.4082E-4	0.86876
511	5.53099	3.4151E-4	0.8691
512	5.54404	3.4232E-4	0.86944
513	10.54857	6.5133E-4	0.8701
514	10.52665	6.4997E-4	0.87075
515	10.50841	6.4885E-4	0.87139
516	5.57541	3.4426E-4	0.87174
517	10.46224	6.46E-4	0.87238
518	5.59146	3.4525E-4	0.87273
519	10.43626	6.4439E-4	0.87337
520	10.42003	6.4339E-4	0.87402
521	10.4121	6.429E-4	0.87466
522	10.39364	6.4176E-4	0.8753
523	10.37328	6.405E-4	0.87594
524	10.35259	6.3923E-4	0.87658
525	5.6113	3.4647E-4	0.87693
526	5.61398	3.4664E-4	0.87728
527	5.63622	3.4801E-4	0.87762
528	5.64683	3.4867E-4	0.87797
529	5.6613	3.4956E-4	0.87832
530	5.67343	3.5031E-4	0.87867
531	5.68291	3.5089E-4	0.87902
532	5.71465	3.5285E-4	0.87938
533	5.71935	3.5314E-4	0.87973
534	10.32687	6.3764E-4	0.88037
535	5.74544	3.5475E-4	0.88072
536	10.29237	6.3551E-4	0.88136
537	5.77577	3.5663E-4	0.88171
538	5.78965	3.5748E-4	0.88207
539	10.26646	6.3391E-4	0.8827
540	10.24638	6.3267E-4	0.88334
541	10.24134	6.3236E-4	0.88397
542	10.20836	6.3032E-4	0.8846
543	10.20043	6.2983E-4	0.88523
544	10.15454	6.27E-4	0.88586
545	10.14913	6.2666E-4	0.88648
546	10.13417	6.2574E-4	0.88711
547	5.81516	3.5906E-4	0.88747
548	5.82704	3.5979E-4	0.88783
549	5.83943	3.6056E-4	0.88819
550	10.08626	6.2278E-4	0.88881
551	5.86499	3.6214E-4	0.88917
552	5.88149	3.6316E-4	0.88954
553	5.888	3.6356E-4	0.8899
554	10.06475	6.2145E-4	0.89052
555	10.03998	6.1992E-4	0.89114
556	10.02718	6.1913E-4	0.89176
557	10.01217	6.1821E-4	0.89238
558	10.00261	6.1762E-4	0.893
559	9.98138	6.1631E-4	0.89361
560	5.91344	3.6513E-4	0.89398
561	5.93012	3.6616E-4	0.89434
562	5.9389	3.667E-4	0.89471
563	5.95522	3.6771E-4	0.89508
564	9.94386	6.1399E-4	0.89569
565	9.9319	6.1325E-4	0.89631
566	5.98371	3.6947E-4	0.89668
567	5.99296	3.7004E-4	0.89705
568	5.99898	3.7041E-4	0.89742
569	6.02655	3.7211E-4	0.89779
570	6.03419	3.7258E-4	0.89816
571	9.88573	6.104E-4	0.89877
572	9.86791	6.093E-4	0.89938
573	9.86003	6.0881E-4	0.89999
574	6.06757	3.7465E-4	0.90036
575	6.06492	3.7448E-4	0.90074
576	6.09707	3.7647E-4	0.90111
577	9.81665	6.0613E-4	0.90172
578	9.80401	6.0535E-4	0.90233
579	9.77661	6.0366E-4	0.90293
580	9.76863	6.0317E-4	0.90353
581	9.74768	6.0188E-4	0.90413
582	9.71434	5.9982E-4	0.90473
583	9.69748	5.9878E-4	0.90533
584	9.68142	5.9778E-4	0.90593
585	9.66367	5.9669E-4	0.90653
586	9.65018	5.9586E-4	0.90712
587	6.1229	3.7806E-4	0.9075
588	6.12945	3.7847E-4	0.90788
589	9.60168	5.9286E-4	0.90847
590	9.59538	5.9247E-4	0.90907
591	9.57185	5.9102E-4	0.90966
592	6.15641	3.8013E-4	0.91004
593	6.16787	3.8084E-4	0.91042
594	6.18528	3.8191E-4	0.9108
595	6.19323	3.824E-4	0.91118
596	6.20727	3.8327E-4	0.91156
597	6.21962	3.8403E-4	0.91195
598	6.23736	3.8513E-4	0.91233
599	6.25026	3.8593E-4	0.91272
600	9.54321	5.8925E-4	0.91331
601	9.5299	5.8843E-4	0.9139
602	6.26735	3.8698E-4	0.91428
603	9.50135	5.8667E-4	0.91487
604	9.4876	5.8582E-4	0.91546
605	9.45045	5.8352E-4	0.91604
606	9.43216	5.8239E-4	0.91662
607	9.41966	5.8162E-4	0.9172
608	6.30035	3.8902E-4	0.91759
609	6.30646	3.894E-4	0.91798
610	6.31787	3.901E-4	0.91837
611	9.39191	5.7991E-4	0.91895
612	6.34448	3.9174E-4	0.91934
613	6.35424	3.9235E-4	0.91974
614	9.35837	5.7784E-4	0.92031
615	9.35134	5.774E-4	0.92089
616	6.38268	3.941E-4	0.92129
617	6.39847	3.9508E-4	0.92168
618	6.4246	3.9669E-4	0.92208
619	6.41654	3.9619E-4	0.92247
620	6.44137	3.9773E-4	0.92287
621	6.46248	3.9903E-4	0.92327
622	6.4688	3.9942E-4	0.92367
623	6.48861	4.0064E-4	0.92407
624	6.50523	4.0167E-4	0.92447
625	6.52456	4.0286E-4	0.92488
626	6.54573	4.0417E-4	0.92528
627	6.54393	4.0406E-4	0.92568
628	6.56701	4.0548E-4	0.92609
629	6.58426	4.0655E-4	0.9265
630	6.58831	4.068E-4	0.9269
631	6.61576	4.0849E-4	0.92731
632	6.63363	4.096E-4	0.92772
633	9.31527	5.7518E-4	0.9283
634	9.29771	5.7409E-4	0.92887
635	9.28636	5.7339E-4	0.92944
636	9.25684	5.7157E-4	0.93002
637	9.24699	5.7096E-4	0.93059
638	6.6579	4.111E-4	0.931
639	6.68756	4.1293E-4	0.93141
640	6.69333	4.1328E-4	0.93182
641	6.70872	4.1423E-4	0.93224
642	6.72386	4.1517E-4	0.93265
643	6.75288	4.1696E-4	0.93307
644	6.76761	4.1787E-4	0.93349
645	6.77824	4.1853E-4	0.93391
646	6.8048	4.2017E-4	0.93433
647	6.81254	4.2064E-4	0.93475
648	6.83265	4.2189E-4	0.93517
649	6.85464	4.2324E-4	0.93559
650	6.84913	4.229E-4	0.93601
651	6.88897	4.2536E-4	0.93644
652	9.20198	5.6818E-4	0.93701
653	9.19473	5.6773E-4	0.93758
654	9.18103	5.6689E-4	0.93814
655	9.16588	5.6595E-4	0.93871
656	9.15131	5.6505E-4	0.93927
657	9.13742	5.6419E-4	0.93984
658	9.10944	5.6247E-4	0.9404
659	9.10211	5.6201E-4	0.94096
660	6.92651	4.2768E-4	0.94139
661	6.93651	4.283E-4	0.94182
662	6.94407	4.2876E-4	0.94225
663	6.9678	4.3023E-4	0.94268
664	6.98066	4.3102E-4	0.94311
665	6.99409	4.3185E-4	0.94354
666	7.00521	4.3254E-4	0.94397
667	7.02512	4.3377E-4	0.94441
668	7.04252	4.3484E-4	0.94484
669	7.06396	4.3617E-4	0.94528
670	7.07678	4.3696E-4	0.94571
671	7.09152	4.3787E-4	0.94615
672	9.04292	5.5836E-4	0.94671
673	9.03914	5.5813E-4	0.94727
674	9.02942	5.5753E-4	0.94783
675	9.01692	5.5675E-4	0.94838
676	8.97275	5.5403E-4	0.94894
677	8.96867	5.5378E-4	0.94949
678	8.96032	5.5326E-4	0.95004
679	8.94891	5.5255E-4	0.9506
680	8.94163	5.5211E-4	0.95115
681	7.12123	4.397E-4	0.95159
682	8.9058	5.4989E-4	0.95214
683	8.86613	5.4744E-4	0.95269
684	8.85395	5.4669E-4	0.95323
685	8.84241	5.4598E-4	0.95378
686	7.13527	4.4057E-4	0.95422
687	7.14892	4.4141E-4	0.95466
688	7.16091	4.4215E-4	0.9551
689	7.17656	4.4312E-4	0.95555
690	7.19192	4.4407E-4	0.95599
691	7.21855	4.4571E-4	0.95644
692	7.23519	4.4674E-4	0.95688
693	7.25622	4.4804E-4	0.95733
694	7.26717	4.4871E-4	0.95778
695	7.28003	4.4951E-4	0.95823
696	7.30057	4.5078E-4	0.95868
697	7.32346	4.5219E-4	0.95913
698	7.33441	4.5287E-4	0.95958
699	7.34685	4.5363E-4	0.96004
700	7.36577	4.548E-4	0.96049
701	7.39705	4.5673E-4	0.96095
702	7.41355	4.5775E-4	0.96141
703	7.42153	4.5825E-4	0.96187
704	7.44379	4.5962E-4	0.96233
705	7.45783	4.6049E-4	0.96279
706	8.80939	5.4394E-4	0.96333
707	8.80379	5.4359E-4	0.96387
708	8.78187	5.4224E-4	0.96442
709	8.75741	5.4073E-4	0.96496
710	7.49936	4.6305E-4	0.96542
711	7.50691	4.6352E-4	0.96588
712	7.52496	4.6463E-4	0.96635
713	7.54248	4.6571E-4	0.96681
714	7.55087	4.6623E-4	0.96728
715	7.56382	4.6703E-4	0.96775
716	7.5818	4.6814E-4	0.96821
717	8.73915	5.396E-4	0.96875
718	8.71887	5.3835E-4	0.96929
719	8.69645	5.3697E-4	0.96983
720	8.67966	5.3593E-4	0.97037
721	8.66822	5.3522E-4	0.9709
722	8.6456	5.3383E-4	0.97143
723	8.63806	5.3336E-4	0.97197
724	8.62429	5.3251E-4	0.9725
