PC	eigenvalue	proportion of total	cumulative proportion
275	7.7859	8.0522E-4	0.6823
276	7.77187	8.0377E-4	0.68311
277	7.75971	8.0251E-4	0.68391
278	7.74205	8.0069E-4	0.68471
279	7.72677	7.991E-4	0.68551
280	7.70351	7.967E-4	0.68631
281	7.67625	7.9388E-4	0.6871
282	7.64661	7.9081E-4	0.68789
283	7.63803	7.8993E-4	0.68868
284	7.62649	7.8873E-4	0.68947
285	7.61194	7.8723E-4	0.69026
286	7.58235	7.8417E-4	0.69104
287	7.55953	7.8181E-4	0.69182
288	7.53889	7.7967E-4	0.6926
289	7.52858	7.7861E-4	0.69338
290	7.50688	7.7636E-4	0.69416
291	7.47257	7.7282E-4	0.69493
292	7.45599	7.711E-4	0.6957
293	7.44481	7.6994E-4	0.69647
294	7.43676	7.6911E-4	0.69724
295	0.80789	8.3552E-5	0.69732
296	7.38455	7.6371E-4	0.69809
297	7.36781	7.6198E-4	0.69885
298	7.34945	7.6008E-4	0.69961
299	7.34536	7.5966E-4	0.70037
300	7.31091	7.561E-4	0.70113
301	7.29612	7.5457E-4	0.70188
302	7.28011	7.5291E-4	0.70263
303	7.26012	7.5084E-4	0.70338
304	7.24298	7.4907E-4	0.70413
305	7.20373	7.4501E-4	0.70488
306	7.1944	7.4405E-4	0.70562
307	7.17036	7.4156E-4	0.70636
308	7.16489	7.41E-4	0.7071
309	7.15419	7.3989E-4	0.70784
310	0.9533	9.859E-5	0.70794
311	7.12149	7.3651E-4	0.70868
312	7.11075	7.354E-4	0.70941
313	7.09587	7.3386E-4	0.71015
314	7.08381	7.3261E-4	0.71088
315	7.07318	7.3151E-4	0.71161
316	0.98288	1.0165E-4	0.71171
317	7.04857	7.2897E-4	0.71244
318	7.03306	7.2736E-4	0.71317
319	7.02438	7.2646E-4	0.7139
320	7.00259	7.2421E-4	0.71462
321	6.99319	7.2324E-4	0.71534
322	1.02169	1.0566E-4	0.71545
323	6.96453	7.2027E-4	0.71617
324	6.94385	7.1813E-4	0.71689
325	6.93257	7.1697E-4	0.71761
326	1.05391	1.09E-4	0.71771
327	1.06333	1.0997E-4	0.71782
328	6.91056	7.1469E-4	0.71854
329	6.9026	7.1387E-4	0.71925
330	6.88547	7.121E-4	0.71997
331	6.87231	7.1074E-4	0.72068
332	6.86662	7.1015E-4	0.72139
333	6.85435	7.0888E-4	0.72209
334	6.83682	7.0707E-4	0.7228
335	6.82131	7.0546E-4	0.72351
336	6.80858	7.0415E-4	0.72421
337	6.79622	7.0287E-4	0.72491
338	1.1138	1.1519E-4	0.72503
339	6.77038	7.0019E-4	0.72573
340	6.75092	6.9818E-4	0.72643
341	6.74749	6.9783E-4	0.72713
342	1.12855	1.1671E-4	0.72724
343	6.72807	6.9582E-4	0.72794
344	1.13994	1.1789E-4	0.72806
345	6.70588	6.9352E-4	0.72875
346	6.69694	6.926E-4	0.72944
347	1.15642	1.196E-4	0.72956
348	6.66559	6.8936E-4	0.73025
349	6.66261	6.8905E-4	0.73094
350	6.64858	6.876E-4	0.73163
351	6.64001	6.8671E-4	0.73231
352	1.1814	1.2218E-4	0.73244
353	6.6143	6.8405E-4	0.73312
354	6.60658	6.8325E-4	0.7338
355	1.1911	1.2318E-4	0.73393
356	6.58383	6.809E-4	0.73461
357	1.2022	1.2433E-4	0.73473
358	1.21119	1.2526E-4	0.73486
359	1.21308	1.2546E-4	0.73498
360	1.21544	1.257E-4	0.73511
361	6.56271	6.7872E-4	0.73579
362	6.55351	6.7777E-4	0.73647
363	6.54435	6.7682E-4	0.73714
364	1.22838	1.2704E-4	0.73727
365	6.5202	6.7432E-4	0.73794
366	6.50712	6.7297E-4	0.73862
367	1.24028	1.2827E-4	0.73874
368	6.49016	6.7121E-4	0.73942
369	6.4877	6.7096E-4	0.74009
370	1.25344	1.2963E-4	0.74022
371	1.25781	1.3008E-4	0.74035
372	6.46236	6.6834E-4	0.74102
373	6.45331	6.674E-4	0.74168
374	6.44282	6.6632E-4	0.74235
375	6.43854	6.6588E-4	0.74301
376	1.27608	1.3197E-4	0.74315
377	1.28269	1.3266E-4	0.74328
378	6.41764	6.6371E-4	0.74394
379	1.28852	1.3326E-4	0.74408
380	6.40577	6.6249E-4	0.74474
381	1.29841	1.3428E-4	0.74487
382	1.29946	1.3439E-4	0.74501
383	1.30729	1.352E-4	0.74514
384	1.31484	1.3598E-4	0.74528
385	6.3854	6.6038E-4	0.74594
386	6.38027	6.5985E-4	0.7466
387	1.32433	1.3696E-4	0.74674
388	1.33025	1.3757E-4	0.74687
389	6.36266	6.5803E-4	0.74753
390	6.34923	6.5664E-4	0.74819
391	6.3378	6.5546E-4	0.74884
392	1.34211	1.388E-4	0.74898
393	1.34885	1.395E-4	0.74912
394	1.35324	1.3995E-4	0.74926
395	1.3607	1.4072E-4	0.7494
396	1.36144	1.408E-4	0.74954
397	1.36691	1.4137E-4	0.74968
398	1.37589	1.423E-4	0.74983
399	1.38263	1.4299E-4	0.74997
400	6.31063	6.5265E-4	0.75062
401	6.30552	6.5212E-4	0.75127
402	6.29532	6.5106E-4	0.75193
403	1.3978	1.4456E-4	0.75207
404	1.40548	1.4536E-4	0.75222
405	1.41239	1.4607E-4	0.75236
406	1.41852	1.467E-4	0.75251
407	1.4228	1.4715E-4	0.75266
408	1.42457	1.4733E-4	0.7528
409	6.2712	6.4857E-4	0.75345
410	6.26189	6.4761E-4	0.7541
